inicio_vigencia,zona,salario_minimo_general,albanileria,archivista,boticas,buldozer,cajero,cajista,cantinero,carpintero_obra,carpintero_muebles,cepilladora,cocinero,colchones,mosaico,contador,yesero,fierrero,cortador_calzado,costurero_taller,costurero_domicilio,chofer_acomodador,chofer_camion,chofer_camioneta,chofer_grua,draga,ebanista,electricista_instalaciones,electricista_autos,electricista_motores,gondola,bodega,enfermero_auxiliar,ferreterias,fogonero,gasolinero,herreria,hojalateria,hornero,jornalero,joyero_oficial,joyero_domicilio,laboratorios,linotipista,lubricador,maestro,manejador,maquinaria_agricola,maquina_fundicion,maquina_troquelado,maquina_madera,maquina_plastico,mecanico_fresador,mecanico_rectificadora,mecanico_autos,mecanico_tornero,moldero,montador_calzado,niquelado,peinador,perforista,pintor_autos,pintor_casas,planchador,plomero,prensa_offset,prensista,radiotecnico_electrico,recamarero,recepcionista,refaccionaria_autos,reparador_hogar,reportero,reportero_grafico,repostero,sastreria_domicilio,secretaria,soldador_soplete,talabartero,tablajero,tapicero_autos,tapicero_muebles,trabajador_hogar,trabajador_social,vaquero,velador,vendedor_piso,zapatero
01/01/2009,a,54.8,79.87,76.35,69.5,84.13,70.84,75.41,72.49,74.47,78.4,75.76,81.04,73.3,78.05,76.93,73.89,76.93,71.72,70.73,72.84,74.47,81.73,79.15,75.76,85.01,79.68,78.05,78.92,75.76,69.27,72.08,74.47,73.71,76.35,70.73,76.93,78.4,80.32,229.38,74.47,77.58,73.3,82.8,71.37,84.42,68.39,80.32,72.49,72.08,76.35,70.73,80.45,77.58,82.8,77.58,75.76,71.72,75.41,74.47,78.92,76.93,76.35,70.84,76.51,79.87,74.47,79.68,69.27,71.37,72.08,75.41,164.18,164.18,79.87,80.32,82.64,78.92,74.47,74.47,75.76,75.76,225.6,90.34,69.27,70.73,72.84,71.72
01/01/2009,b,53.26,77.81,74.29,67.65,81.74,69.11,73.52,70.53,72.47,76.23,73.93,78.93,71.41,76.1,74.93,72.11,76.93,69.94,68.7,70.99,72.47,79.63,77.04,73.93,82.86,77.57,76.1,76.81,73.93,67.47,70.17,72.47,71.58,74.29,66.7,74.93,76.23,78.34,229.38,72.47,75.7,71.41,80.8,69.48,82.27,66.7,78.34,70.53,70.17,74.29,68.7,78.57,75.7,80.8,75.7,73.93,69.94,73.52,72.47,76.81,74.93,74.29,69.11,74.64,77.81,72.47,77.57,67.47,69.48,70.17,73.52,160.03,160.03,77.81,78.34,80.32,76.81,72.47,72.47,73.93,73.93,225.6,87.84,67.47,68.7,70.99,69.94
01/01/2009,c,51.95,75.71,72.24,65.94,79.61,67.35,71.42,68.7,70.46,74.19,71.88,76.72,69.63,74.01,72.82,70.06,72.82,68.11,67.17,68.99,70.46,77.55,74.89,71.88,80.5,75.42,74.01,74.66,71.88,65.34,68.34,70.46,69.77,72.24,67.17,72.82,74.19,76.25,229.38,70.46,73.6,69.63,78.67,67.51,79.91,64.92,76.25,68.7,68.34,72.24,67.17,76.37,73.6,78.67,73.6,71.88,68.11,71.42,70.46,74.66,72.82,72.24,67.35,72.53,75.71,70.46,75.42,65.34,67.51,68.34,71.42,155.38,155.38,75.71,76.25,78.34,74.66,70.46,70.46,71.88,71.88,225.6,85.56,65.34,67.17,68.99,68.11
01/01/2010,a,57.46,83.74,74.29,72.87,88.21,74.28,79.07,76.01,141.6,82.2,73.86,84.97,76.86,81.84,74.89,77.47,75.56,75.2,74.16,76.37,78.08,85.69,82.99,79.43,89.13,83.54,81.84,82.75,79.43,72.63,75.58,78.08,77.28,80.05,74.16,80.66,82.2,84.22,229.38,78.08,81.34,71.45,86.82,74.83,88.51,71.71,84.22,70.57,70.2,80.05,68.87,78.46,75.63,86.82,81.34,79.43,75.2,79.07,78.08,82.75,80.66,80.05,74.28,80.22,83.74,78.08,83.54,72.63,74.83,75.58,79.07,172.14,172.14,83.74,84.22,86.65,82.75,78.08,78.08,79.43,79.43,225.6,94.72,72.63,74.16,76.37,75.2
01/01/2010,b,55.84,81.58,74.29,70.93,85.7,72.46,77.09,73.95,141.6,79.93,73.86,82.76,74.87,79.79,74.89,75.61,75.56,73.33,72.03,74.43,75.98,83.49,80.78,77.52,86.88,81.33,79.79,80.54,77.52,70.74,73.57,75.98,75.05,77.89,72.03,78.56,79.93,82.14,229.38,75.98,79.37,71.45,84.72,72.85,86.26,69.93,82.14,70.57,70.2,77.89,68.87,78.46,75.63,84.72,79.37,77.52,73.33,77.09,75.98,80.54,78.56,77.89,72.46,78.26,81.58,75.98,81.33,70.74,72.85,73.57,77.09,167.79,167.79,81.58,82.14,84.22,80.54,75.98,75.98,77.52,77.52,225.6,92.1,70.74,72.03,74.43,73.33
01/01/2010,c,54.47,79.38,74.29,69.14,83.47,70.62,74.88,72.03,141.6,77.79,73.86,80.44,73.01,77.6,74.89,73.46,75.56,71.41,70.43,72.34,73.88,81.31,78.52,75.37,84.4,79.08,77.6,78.28,75.37,68.51,71.65,73.88,73.15,75.74,70.43,76.35,77.79,79.95,229.38,73.88,77.17,71.45,82.49,70.78,83.79,68.07,79.95,70.57,70.2,75.74,68.87,78.46,75.63,82.49,77.17,75.37,71.41,74.88,73.88,78.28,76.35,75.74,70.62,76.05,79.38,73.88,79.08,68.51,70.78,71.65,74.88,162.92,162.92,79.38,79.95,82.14,78.28,73.88,73.88,75.37,75.37,225.6,89.71,68.51,70.43,72.34,71.41
01/01/2011,a,59.82,87.17,74.29,75.86,91.83,77.33,82.31,79.13,141.6,85.57,73.86,88.45,80.01,85.2,74.89,80.65,75.56,78.28,77.2,79.5,81.28,89.2,86.39,82.69,92.78,86.97,85.2,86.14,82.69,75.61,78.68,81.28,80.45,83.33,77.2,83.97,85.57,87.67,229.38,81.28,84.67,71.45,90.38,77.9,92.14,74.65,87.67,70.57,70.2,83.33,68.87,78.46,75.63,90.38,84.67,82.69,78.28,82.31,81.28,86.14,83.97,83.33,77.33,83.51,87.17,81.28,86.97,75.61,71.14,78.68,82.31,179.2,179.2,87.17,87.67,90.2,86.14,81.28,81.28,82.69,82.69,225.6,98.6,75.61,77.2,79.5,78.28
01/01/2011,b,58.13,84.92,74.29,73.84,89.21,75.43,80.25,76.98,141.6,83.21,73.86,86.15,77.94,83.06,74.89,78.71,75.56,76.34,74.98,77.48,79.1,86.91,84.09,80.7,90.44,84.66,83.06,83.84,80.7,73.64,76.59,79.1,78.13,81.08,74.98,81.78,83.21,85.51,229.38,79.1,82.62,71.45,88.19,75.84,89.8,72.8,85.51,70.57,70.2,81.08,68.87,78.46,75.63,88.19,82.62,80.7,76.34,80.25,79.1,83.84,81.78,81.08,75.43,81.47,84.92,79.1,84.66,73.64,71.14,76.59,80.25,174.67,174.67,84.92,85.51,87.67,83.84,79.1,79.1,80.7,80.7,225.6,95.88,73.64,74.98,77.48,76.34
01/01/2011,c,56.7,82.63,74.29,71.97,86.89,73.52,77.95,74.98,141.6,80.98,73.86,83.74,76.0,80.78,74.89,76.47,75.56,74.34,73.32,75.31,76.91,84.64,81.74,78.46,87.86,82.32,80.78,81.49,78.46,71.32,74.59,76.91,76.15,78.85,73.32,79.48,80.98,83.23,229.38,76.91,80.33,71.45,85.87,73.68,87.23,70.86,83.23,70.57,70.2,78.85,68.87,78.46,75.63,85.87,80.33,78.46,74.34,77.95,76.91,81.49,79.48,78.85,73.52,79.17,82.63,76.91,82.32,71.32,71.14,74.59,77.95,169.6,169.6,82.63,83.23,85.51,81.49,76.91,76.91,78.46,78.46,225.6,93.39,71.32,73.32,75.31,74.34
01/01/2012,a,62.33,90.83,74.29,79.05,95.69,80.58,85.77,82.45,141.6,89.16,73.86,91.16,83.37,88.78,74.89,84.04,75.56,81.57,80.44,82.84,84.69,92.95,90.02,86.16,96.68,90.62,88.78,89.76,86.16,78.79,81.98,84.69,83.83,86.83,80.34,87.5,89.16,81.96,229.38,84.69,88.23,71.45,94.18,81.17,96.01,77.79,91.35,70.57,70.2,86.83,68.87,78.46,75.63,94.18,88.23,86.16,81.57,85.77,84.69,89.76,87.5,86.83,80.58,87.02,90.83,84.69,90.62,78.79,71.14,81.98,85.77,186.73,186.73,90.83,91.35,93.99,89.76,75.85,84.69,86.16,86.16,225.6,102.74,78.79,80.44,82.84,81.57
01/01/2012,b,60.57,88.49,74.29,76.94,92.96,78.6,83.62,80.21,141.6,86.7,73.86,89.77,81.21,86.55,74.89,82.02,75.56,79.55,78.13,80.73,82.42,90.56,87.62,84.09,94.24,88.22,86.55,87.36,84.09,76.73,79.81,82.42,81.41,84.49,78.13,85.21,86.7,81.96,229.38,82.42,86.09,71.45,91.89,79.03,93.57,75.86,89.1,70.57,70.2,84.49,68.87,78.46,75.63,91.89,86.09,84.09,79.55,83.62,82.42,87.36,85.21,84.94,78.6,84.89,88.49,82.42,88.22,76.73,71.14,79.81,83.62,182.01,182.01,88.49,89.1,91.35,87.36,75.85,82.42,84.09,84.09,225.6,99.91,76.73,78.13,80.73,79.55
01/01/2012,c,59.08,86.1,74.29,74.99,90.54,76.61,81.22,78.13,141.6,84.38,73.86,87.26,79.19,84.17,74.89,79.68,75.56,77.46,76.4,78.47,80.14,88.19,85.17,81.76,91.55,85.78,84.17,84.91,81.76,74.32,77.72,80.14,79.35,82.16,76.4,82.82,84.38,81.96,229.38,80.14,83.7,71.45,89.48,76.77,90.89,73.84,86.73,70.57,70.2,82.16,68.87,78.46,75.63,89.48,83.7,81.76,77.46,81.22,80.14,84.91,82.82,82.16,76.61,82.5,86.1,80.14,85.78,74.32,71.14,77.72,81.22,176.72,176.72,86.1,86.73,89.1,84.91,75.85,80.14,81.76,81.76,225.6,97.31,74.32,76.4,78.47,77.46
27/11/2012,a,62.33,90.83,74.29,79.05,95.69,80.58,85.77,82.45,141.6,89.16,73.86,92.16,83.37,88.78,74.89,84.04,75.56,81.57,80.44,82.84,84.59,92.95,90.02,86.16,96.68,90.62,88.78,89.76,86.16,78.79,81.98,84.69,83.83,88.83,80.44,87.5,89.16,81.96,229.38,84.69,88.23,71.45,94.18,81.17,96.01,77.79,91.35,70.57,70.2,86.83,68.87,78.46,75.63,94.18,88.23,86.16,81.57,85.77,84.69,89.78,87.5,86.83,80.58,87.02,90.83,84.69,90.62,78.79,71.14,81.98,85.77,188.73,188.73,90.83,91.35,93.99,89.78,75.85,84.69,86.16,86.16,225.6,102.74,78.79,80.44,82.84,81.57
27/11/2012,b,59.08,86.1,74.29,74.99,90.54,76.61,81.22,78.13,141.6,84.38,73.86,87.26,79.19,84.17,74.89,79.68,75.56,77.46,76.4,78.47,80.14,88.19,85.17,81.76,91.55,85.78,84.17,84.91,81.76,74.32,77.72,80.14,79.35,82.16,76.4,82.82,84.38,81.96,229.38,80.14,83.7,71.45,89.48,78.77,90.89,73.84,86.73,70.57,70.2,82.16,68.87,78.46,75.63,89.48,83.7,81.76,77.48,81.22,80.14,84.91,82.82,82.16,76.61,82.5,86.1,80.14,85.78,74.32,71.14,77.72,81.22,176.72,176.72,88.1,86.73,89.1,84.91,75.85,80.14,81.76,81.76,225.6,97.31,74.32,76.4,78.47,77.46
01/01/2013,a,64.76,94.37,74.29,82.13,99.42,83.72,89.12,85.67,141.6,92.64,73.86,95.75,86.62,92.24,74.89,87.32,75.56,84.75,83.58,86.07,87.99,96.58,93.53,89.52,100.45,94.15,92.24,93.26,89.52,81.86,85.18,87.99,87.1,90.22,83.58,90.91,92.64,81.96,229.38,87.99,91.67,71.45,97.85,84.34,99.75,80.82,94.91,70.57,70.2,90.22,68.87,78.46,75.63,97.85,81.6,79.69,84.75,79.25,87.99,93.26,90.91,90.22,83.72,90.41,94.37,87.99,94.15,81.86,71.14,85.18,89.12,194.01,194.01,94.37,94.91,97.66,93.26,75.85,87.99,89.52,89.52,225.6,106.75,81.86,83.58,86.07,84.75
01/01/2013,b,61.38,89.46,74.29,77.91,94.07,79.6,84.39,81.18,141.6,87.67,73.86,90.66,82.28,87.45,74.89,82.79,75.56,80.48,79.38,81.53,83.27,91.63,88.49,84.95,95.12,89.13,87.45,88.22,84.95,77.22,80.75,83.27,82.44,85.36,79.38,86.05,87.67,81.96,229.38,83.27,86.96,71.45,92.97,76.76,94.43,76.72,90.11,70.57,70.2,85.36,68.87,78.46,75.63,92.97,81.6,79.69,80.48,79.25,83.27,88.22,86.05,85.36,79.6,85.72,89.46,83.27,89.13,77.22,71.14,80.75,84.39,183.61,183.61,89.46,90.11,92.57,88.22,75.85,83.27,84.95,84.95,225.6,101.11,77.22,79.38,81.53,80.48
01/01/2014,a,67.29,98.05,74.29,85.33,103.3,86.99,80.19,89.01,98.05,96.25,73.86,99.48,90.0,95.84,74.89,90.73,75.56,88.06,86.84,89.43,91.42,100.35,97.18,93.01,104.37,97.82,95.84,96.9,93.01,85.05,88.5,79.12,90.5,93.74,86.84,94.46,96.25,81.96,229.38,79.12,82.56,71.45,88.17,87.63,89.74,83.97,98.61,70.57,70.2,93.74,68.87,78.46,75.63,101.67,81.6,79.69,88.06,79.25,91.42,83.85,94.46,93.74,86.99,93.94,84.94,79.12,97.82,85.05,71.14,88.5,92.6,201.58,201.58,98.05,98.61,101.47,96.9,75.85,91.42,93.01,93.01,225.6,110.91,85.05,86.84,89.43,88.06
01/01/2014,b,63.77,92.95,74.29,80.95,97.74,82.7,80.19,84.35,92.95,91.09,73.86,99.48,85.49,90.86,74.89,86.02,75.56,83.62,82.48,84.71,86.52,95.2,91.94,88.26,98.83,92.61,90.86,91.66,88.26,80.23,83.9,79.12,85.66,88.69,82.48,89.41,91.09,81.96,229.38,79.12,82.56,71.45,88.17,82.87,89.74,79.71,93.62,70.57,70.2,88.69,68.87,78.46,75.63,96.6,81.6,79.69,83.62,79.25,86.52,83.85,89.41,88.69,82.7,89.06,84.94,79.12,92.61,80.23,71.14,83.9,87.68,190.77,190.77,92.95,93.62,96.18,91.66,75.85,86.52,88.26,88.26,225.6,105.05,80.23,82.48,84.71,83.62
01/01/2015,a,70.1,102.2,74.29,88.9,107.65,90.65,80.19,92.75,102.2,100.3,73.86,103.65,93.8,99.9,74.89,94.55,75.56,91.75,90.5,93.2,95.25,104.55,101.25,96.9,108.75,101.95,99.9,101.0,96.9,88.6,92.2,79.12,94.3,97.7,90.5,98.45,100.3,81.96,229.38,79.12,82.56,71.45,88.17,91.3,89.74,87.5,102.75,70.57,70.2,97.7,68.87,78.46,75.63,105.95,81.6,79.69,91.75,79.25,95.25,83.85,98.45,97.7,90.65,97.9,84.94,79.12,101.95,88.6,71.14,92.2,96.5,210.05,210.05,102.2,102.75,105.7,101.0,75.85,95.25,96.9,96.9,225.6,115.55,88.6,90.5,93.2,91.75
01/01/2015,b,66.45,96.85,74.29,84.35,101.85,86.2,80.19,87.9,96.85,94.9,73.86,98.15,89.1,94.1,74.89,89.6,75.56,87.1,85.95,88.25,90.15,99.2,95.8,92.0,103.0,96.5,94.7,95.5,92.0,83.6,87.4,79.12,89.25,92.4,85.95,93.2,94.9,81.96,229.38,79.12,82.56,71.45,88.17,86.35,89.74,83.05,97.55,70.57,70.2,92.4,68.87,78.46,75.63,106.65,81.6,79.69,87.1,79.25,90.15,83.85,93.2,94.2,86.2,92.8,84.94,79.12,96.5,83.6,71.14,87.4,91.35,198.8,198.8,96.85,97.55,100.2,95.5,75.85,90.15,92.0,92.0,225.6,109.45,83.6,85.95,88.25,87.1
01/04/2015,a,70.1,102.2,74.29,88.9,107.65,90.65,80.19,92.75,102.2,100.3,73.86,103.65,93.8,99.9,74.89,94.55,75.56,91.75,90.5,93.2,95.25,104.55,101.25,96.9,108.75,101.95,99.9,101.0,96.9,88.6,92.2,79.12,94.3,97.7,90.5,98.45,100.3,81.96,229.38,79.12,82.56,71.45,88.17,91.3,89.74,87.5,102.75,70.57,70.2,97.7,68.87,78.46,75.63,105.95,81.6,79.69,91.75,79.25,95.25,83.85,98.45,97.7,90.65,97.9,84.94,79.12,101.95,88.6,71.14,92.2,96.5,210.05,210.05,102.2,102.75,105.7,101.0,75.85,95.25,96.9,96.9,225.6,115.55,88.6,90.5,91.2,91.75
01/04/2015,b,68.28,99.51,74.29,86.67,104.65,88.57,80.19,90.31,99.51,97.51,73.86,100.85,91.55,97.3,74.89,92.06,75.56,89.49,88.31,90.67,92.63,101.92,98.43,94.53,105.83,99.15,97.3,98.12,94.53,85.9,89.8,79.12,91.7,94.9,88.31,95.76,97.51,81.96,229.38,79.12,82.56,71.45,88.17,88.72,89.74,85.33,100.23,70.57,70.2,94.94,68.87,78.46,75.63,103.41,81.6,79.69,89.49,79.25,92.63,83.85,95.76,94.94,88.57,95.35,84.94,79.12,99.15,85.9,71.14,89.8,93.86,204.26,204.26,99.51,100.23,102.95,98.12,75.85,92.63,94.53,94.53,225.6,112.46,85.9,88.31,90.67,89.49
01/10/2015,u,70.1,102.2,74.29,88.9,107.65,90.65,80.19,92.75,102.2,100.3,73.86,103.65,93.8,99.9,74.89,94.55,75.56,91.75,90.5,93.2,95.25,104.55,101.25,96.9,108.75,101.95,99.9,101.0,96.9,88.6,92.2,79.12,94.3,97.7,90.5,98.45,100.3,81.96,229.38,79.12,82.56,71.45,88.17,91.3,89.74,87.5,102.75,70.57,70.2,97.7,68.87,78.46,75.63,105.95,81.6,79.69,91.75,79.25,95.25,83.85,98.45,97.7,90.65,97.9,84.94,79.12,101.95,88.6,71.14,92.2,96.5,210.05,210.05,102.2,102.75,105.7,101.0,75.85,95.25,96.9,96.9,225.6,115.55,88.6,90.5,93.2,91.75
01/01/2016,u,73.04,106.49,74.29,92.63,112.17,94.46,80.19,96.65,106.49,104.51,73.86,108.0,97.74,104.1,74.89,98.52,75.56,95.6,94.3,97.11,99.25,108.94,105.5,100.97,113.32,106.23,104.1,105.24,100.97,92.32,96.07,79.12,98.26,101.8,94.3,102.58,104.51,81.96,229.38,79.12,82.56,71.45,88.17,95.13,89.74,91.18,107.07,70.57,70.2,101.8,68.87,78.46,75.63,110.4,81.6,79.69,95.6,79.25,99.25,83.85,102.58,101.8,94.46,102.01,84.94,79.12,106.23,92.32,71.14,96.07,100.55,218.87,218.87,106.49,107.07,110.14,105.24,75.85,99.25,100.97,100.97,225.6,120.4,92.32,94.3,97.11,95.6
01/01/2017,u,80.04,110.64,74.29,96.24,116.54,98.14,80.19,100.42,110.64,108.59,73.86,112.21,101.55,108.16,74.89,102.36,75.56,99.33,97.98,100.9,103.12,113.19,109.61,104.91,117.74,110.37,108.16,109.34,104.91,95.92,99.82,79.12,102.09,105.77,97.98,106.58,108.59,81.96,229.38,79.12,82.56,71.45,88.17,98.84,89.74,94.74,111.25,70.57,70.2,105.77,68.87,78.46,75.63,114.71,81.6,79.69,99.33,79.25,103.12,83.85,106.58,105.77,98.14,105.99,84.94,79.12,110.37,95.92,71.14,99.82,104.47,227.41,227.41,110.64,111.25,114.44,109.34,75.85,103.12,104.91,104.91,225.6,125.1,95.92,97.98,100.9,99.33
01/12/2017,u,88.36,114.95,74.29,99.99,121.09,101.97,80.19,104.34,114.95,112.83,73.86,116.59,105.51,112.38,74.89,106.35,75.56,103.2,101.8,104.84,107.14,117.6,113.88,109.0,122.33,114.67,112.38,113.6,109.0,99.66,103.71,79.12,106.07,109.9,101.8,110.74,112.83,81.96,229.38,79.12,82.56,71.45,88.17,102.69,89.74,98.43,115.59,70.57,70.2,109.9,68.87,78.46,75.63,119.18,81.6,79.69,103.2,79.25,107.14,83.85,110.74,109.9,101.97,110.12,84.94,79.12,114.67,96.66,71.14,103.71,108.54,236.28,236.28,114.95,115.59,118.9,113.6,75.85,107.14,109.0,109.0,225.6,129.98,99.6,101.8,104.84,103.2
01/01/2019,r,102.68,120.7,74.29,104.99,127.14,107.07,80.19,109.56,120.7,118.47,73.86,122.42,110.79,118.0,74.89,111.67,75.56,108.36,106.89,110.08,112.5,123.48,119.57,114.45,128.45,120.4,118.0,119.28,114.45,104.64,108.9,79.12,111.37,115.4,106.89,116.28,118.47,81.96,229.38,79.12,82.56,71.45,88.17,107.82,89.74,103.56,121.37,70.57,70.2,115.4,68.87,78.46,75.63,125.14,81.6,79.69,108.36,79.25,112.5,83.85,116.28,115.4,107.07,115.63,84.94,79.12,120.4,104.64,71.14,108.9,113.97,248.09,248.09,120.7,121.37,124.85,119.28,75.85,112.5,114.45,114.45,225.6,136.48,104.64,106.89,110.08,108.36
01/01/2019,z,176.72,176.72,74.29,176.72,176.72,176.72,80.19,176.72,176.72,176.72,73.86,176.72,176.72,176.72,74.89,176.72,75.56,176.72,176.72,176.72,176.72,176.72,176.72,176.72,176.72,176.72,176.72,176.72,176.72,176.72,176.72,79.12,176.72,176.72,176.72,176.72,176.72,81.96,229.38,79.12,82.56,71.45,88.17,176.72,89.74,176.72,176.72,70.57,70.2,176.72,68.87,78.46,75.63,176.72,81.6,79.69,176.72,79.25,176.72,83.85,176.72,176.72,176.72,176.72,84.94,79.12,176.72,176.72,71.14,176.72,176.72,248.09,248.09,176.72,176.72,176.72,176.72,75.85,176.72,176.72,176.72,225.6,176.72,176.72,176.72,176.72,176.72
01/01/2020,r,123.22,142.14,74.29,125.64,148.9,127.83,80.19,130.44,142.14,139.8,73.86,143.94,131.73,139.3,74.89,132.66,75.56,129.18,127.64,130.99,133.53,145.06,140.95,135.58,150.28,141.82,139.3,140.65,135.58,125.28,129.75,79.12,132.34,136.57,127.64,137.5,139.8,81.96,229.38,79.12,82.56,71.45,88.17,128.61,89.74,123.92,142.84,70.57,70.2,136.57,68.87,78.46,75.63,146.8,81.6,79.69,129.18,79.25,133.53,83.85,137.5,136.57,127.83,136.82,84.94,79.12,141.82,125.28,71.14,129.75,135.07,275.9,275.9,142.14,142.84,146.5,140.65,75.85,133.53,135.58,135.58,225.6,158.71,125.28,127.64,130.99,129.18
01/01/2020,z,185.56,185.56,74.29,185.56,185.56,185.56,80.19,185.56,185.56,185.56,73.86,185.56,185.56,185.56,74.89,185.56,75.56,185.56,185.56,185.56,185.56,185.56,185.56,185.56,185.56,185.56,185.56,185.56,185.56,185.56,185.56,79.12,185.56,185.56,185.56,185.56,185.56,81.96,229.38,79.12,82.56,71.45,88.17,185.56,89.74,185.56,185.56,70.57,70.2,185.56,68.87,78.46,75.63,185.56,81.6,79.69,185.56,79.25,185.56,83.85,185.56,185.56,185.56,185.56,84.94,79.12,185.56,185.56,71.14,185.56,185.56,260.49,260.49,185.56,185.56,185.56,185.56,75.85,185.56,185.56,185.56,225.6,185.56,185.56,185.56,185.56,185.56
01/01/2021,r,141.7,163.46,74.29,144.49,171.24,147.0,80.19,150.01,163.46,160.77,73.86,165.53,151.49,160.2,74.89,152.56,75.56,148.56,146.79,150.64,153.56,166.82,162.09,155.92,172.82,163.09,160.2,161.75,155.92,144.07,149.21,79.12,152.19,157.06,146.79,158.13,160.77,81.96,160.19,79.12,82.56,71.45,88.17,147.9,89.74,142.51,164.27,70.57,70.2,157.06,68.87,78.46,75.63,168.82,81.6,79.69,148.56,79.25,153.56,83.85,158.13,157.06,147.0,157.34,84.94,79.12,163.09,144.07,71.14,149.21,155.33,317.29,317.29,163.46,164.27,168.48,161.75,75.85,153.56,155.92,155.92,154.03,182.52,144.07,146.79,150.64,148.56
01/01/2021,z,213.39,213.39,74.29,213.39,213.39,213.39,80.19,213.39,213.39,213.39,73.86,213.39,213.39,213.39,74.89,213.39,75.56,213.39,213.39,213.39,213.39,213.39,213.39,213.39,213.39,213.39,213.39,213.39,213.39,213.39,213.39,79.12,213.39,213.39,213.39,213.39,213.39,81.96,213.39,79.12,82.56,71.45,88.17,213.39,89.74,213.39,213.39,70.57,70.2,213.39,68.87,78.46,75.63,213.39,81.6,79.69,213.39,79.25,213.39,83.85,213.39,213.39,213.39,213.39,84.94,79.12,213.39,213.39,71.14,213.39,213.39,317.29,317.29,213.39,213.39,213.39,213.39,75.85,213.39,213.39,213.39,213.39,213.39,213.39,213.39,213.39,213.39
01/01/2022,r,172.87,199.42,74.29,176.28,208.91,179.34,80.19,183.01,199.42,196.14,73.86,201.95,184.82,195.44,74.89,186.12,75.56,181.24,179.08,183.78,187.34,203.52,197.75,190.22,210.84,198.97,195.44,197.34,190.22,175.77,182.04,79.12,185.67,191.61,179.08,192.92,196.14,81.96,195.43,79.12,82.56,71.45,88.17,180.44,89.74,173.86,200.41,70.57,70.2,191.61,68.87,78.46,75.63,205.96,81.6,79.69,181.24,79.25,187.34,83.85,192.92,191.61,179.34,191.95,84.94,79.12,198.97,175.77,71.14,182.04,189.5,387.09,387.09,199.42,200.41,205.55,197.34,75.85,187.34,190.22,190.22,187.92,222.67,175.77,179.08,183.78,181.24
01/01/2022,z,260.34,260.34,74.29,260.34,260.34,260.34,80.19,260.34,260.34,260.34,73.86,260.34,260.34,260.34,74.89,260.34,75.56,260.34,260.34,260.34,260.34,260.34,260.34,260.34,260.34,260.34,260.34,260.34,260.34,260.34,260.34,79.12,260.34,260.34,260.34,260.34,260.34,81.96,260.34,79.12,82.56,71.45,88.17,260.34,89.74,260.34,260.34,70.57,70.2,260.34,68.87,78.46,75.63,260.34,81.6,79.69,260.34,79.25,260.34,83.85,260.34,260.34,260.34,260.34,84.94,79.12,260.34,260.34,71.14,260.34,260.34,387.09,387.09,260.34,260.34,260.34,260.34,75.85,260.34,260.34,260.34,260.34,260.34,260.34,260.34,260.34,260.34
01/01/2023,r,207.44,239.31,74.29,211.53,250.7,215.21,80.19,219.61,239.31,235.37,73.86,242.34,221.78,234.53,74.89,223.35,75.56,217.49,214.9,220.54,224.81,244.22,237.3,228.27,253.01,238.76,234.53,236.8,228.27,210.92,218.44,79.12,222.81,229.94,214.9,231.5,235.37,81.96,234.52,79.12,82.56,71.45,88.17,216.53,89.74,208.63,240.49,70.57,70.2,229.94,68.87,78.46,75.63,247.15,81.6,79.69,217.49,79.25,224.81,83.85,231.5,229.94,215.21,230.35,84.94,79.12,238.76,210.92,71.14,218.44,227.4,464.51,464.51,239.31,240.49,246.65,236.8,75.85,224.81,228.27,228.27,225.5,267.21,210.92,214.9,220.54,217.49
01/01/2023,z,312.41,312.41,74.29,312.41,312.41,312.41,80.19,312.41,312.41,312.41,73.86,312.41,312.41,312.41,74.89,312.41,75.56,312.41,312.41,312.41,312.41,312.41,312.41,312.41,312.41,312.41,312.41,312.41,312.41,312.41,312.41,79.12,312.41,312.41,312.41,312.41,312.41,81.96,312.41,79.12,82.56,71.45,88.17,312.41,89.74,312.41,312.41,70.57,70.2,312.41,68.87,78.46,75.63,312.41,81.6,79.69,312.41,79.25,312.41,83.85,312.41,312.41,312.41,312.41,84.94,79.12,312.41,312.41,71.14,312.41,312.41,464.51,464.51,312.41,312.41,312.41,312.41,75.85,312.41,312.41,312.41,312.41,312.41,312.41,312.41,312.41,312.41
